Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
Non-lethal support package to Somali Police,"Political level consultations to facilitate the introduction of the New Policing Model (federated policing system).  Also, to build a Police Training School in a FMS (location TBD).",Jan-13,Dec-16,"1. Peace, security, and rule of law",Justice & Law Enforcement,Police,PSG 2 - Round 2,Germany,UNOPS,UN,2000000,0,500000,1500000,2000000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,1500000
Rule of Law enforcement,,Jan-15,Dec-16,"1. Peace, security, and rule of law",Justice & Law Enforcement,,Netherlands,Netherlands,t.b.d.,NGOs,4444444,2222222,2222222,0,4444444,,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,2222222,0,0,0,0,0,0,0,0,2222222,0,0,0,0,0,0,0,0,0
U.S. Department of State’s Bureau of International Narcotics and Law Enforcement Affairs (INL) - 3,"Improve CID and AGO forensic and case adjudication and prosecution.  Improve Somalia Custodial Corps to develop a prison classification system, separate juveniles from adult prisoners, and improve living conditions.  Augmenting police assistance in newly-liberated areas by train, equip, and mentoing and expanded police services in high-risk of exploitation by violent extremists.  An additional $4.825M to be expended in 2018.",May-17,Sep-17,"1. Peace, security, and rule of law",Justice & Law Enforcement,Police,PSG 2 - Round 2,USA,Tender process continuing. Implementer(s) not yet identified,Unclear / TBD,9650000,0,0,4825000,4825000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4825000
Op Nestor,,,,"1. Peace, security, and rule of law",Justice & Law Enforcement,Police,PSG 2 - Round 2,EU,,Unclear / TBD,0,13000000,13000000,13000000,39000000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,13000000,0,0,0,0,0,0,0,0,13000000,0,0,0,0,0,0,0,0,13000000
Hargeisa Urban Water Supply Upgrading Project (HUWSUP),"1:  Pipeline system from Ged Deeble Well Field to Hargeisa replaced and its capacity enlarged, and Biyo Khadar boosting station upgraded. 2:  Key water supply facilities rehabilitated, extended and improved, in order to improve access to drinking water for vulnerable households 3:  Capacities developed at the Hargeisa Water Agency",Jan-13,Nov-17,4. Infrastructural Restoration and Development,Infrastructure,Water,UN-Habitat,EU,UN-Habitat,UN,16666667,4032035,3369761,7889219,15291015,,Significant,Significant,Not targeted,,,,,,0,,1,,0,0,0,0,0,0,0,4032035,0,0,0,0,0,0,0,0,3369761,0,0,0,0,0,0,0,0,7889219,0
Energy Security and Resource Efficiency in Somaliland (ESRES),"To support Somaliland in diversifying its energy mix, enhancing resilience and facilitating an enabling institutional and regulatory environment for the expansion of access to electricity.",May-14,Mar-20,4. Infrastructural Restoration and Development,Infrastructure,,UK,DFID,Mott Macdonald,Private sector,28571429,0,2714286,4428571,7142857,http://devtracker.dfid.gov.uk/,Significant,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2714286,0,0,0,0,0,0,0,0,4428571,0
Somali Urban Investment Planning Project (SUIPP),"Provide an assessment of the feasibility and preliminary plans for selected urban investment and institutional strengthening activities in South-Central Somalia, Puntland and Somaliland.",Oct-15,Dec-16,4. Infrastructural Restoration and Development,Infrastructure,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",Government counterparts,Government,6000000,0,2000000,4000000,6000000,http://www.worldbank.org/projects/P150374?lang=en,Not targeted,Significant,Not targeted,,0.45,,,,0.15,,0.4,,0,0,0,0,0,0,0,0,0,0,900000,0,0,0,300000,0,800000,0,0,1800000,0,0,0,600000,0,1600000,0
Mid term evaluation infrastructure rehabilitation,Mid term evaluation infrastructure rehabilitation,Dec-16,,4. Infrastructural Restoration and Development,Infrastructure,,EU,EU,TBD,Unclear / TBD,166667,0,0,166667,166667,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166667
JPLG - 3 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,4. Infrastructural Restoration and Development,Infrastructure,Basic social infrastructure at local level / Local Development Funding (LDF),UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,3405640,3485854,3312959,10204453,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,207744.0349,153254,207744,57896,190716,1164729,231584,1191974,0,212637,156863,212637,59260,195208,1192162,237038,1220049,0,202091,149083,202091,56320,185526,1133032,225281,1159536,0
Renewable energy /cooking stoves," To promote economic growth through infrastructure development, employment creation and sustainable natural resources management.",Dec-16,,4. Infrastructural Restoration and Development,Infrastructure,,EU,EU,TBD,Unclear / TBD,2777778,0,0,2777778,2777778,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777778
Special Financing Facility for Local Development (SFF-LD),Support the construction and reconstruction of new and damaged infrastructure for local service delivery in targeted areas of Somalia and support the development of basic public investment management functions.,May-16,Jun-18,4. Infrastructural Restoration and Development,Infrastructure,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",Government counterparts,Government,6000000,0,705403,3000000,3705403,http://http://somaliampf.org,Not targeted,Significant,Significant,0.36,,,0.13,,0.13,0.38,0,,0,0,0,0,0,0,0,0,0,253945,0,0,91702,0,91702,268053,0,0,1080000,0,0,390000,0,390000,1140000,0,0
Hargeisa-Berbera-Sheikh Road Rehabilitation Project,Spur economic growth/activities in the areas traversed by the roads project thereby reducing the poverty levels of the roadside local  communities and connected town inhabitants,Jun-14,Jul-17,4. Infrastructural Restoration and Development,Infrastructure,/,Somaliland Development Fund,"DFID, DANIDA, Norway and the Netherlands",Roads Development Agency (RDA1),Government,10169030,5802449,1154956,2363281,9320686,http://http://www.somalilanddevelopmentfund.org,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,5802449,0,0,0,0,0,0,0,0,1154956,0,0,0,0,0,0,0,0,2363281,0
"Pilot Project to Strengthen Service Delivery Through Federal Government Systems, Federal Member States and Interim Regional Administrations (National Window)",,Feb-16,Sep-17,4. Infrastructural Restoration and Development,Infrastructure,,UN RCO,UN MPTF,Government counterparts,Government,2062083,0,33866,2028217,2062083,,Not targeted,Significant,Significant,,0.5,,,0.5,,,,,0,0,0,0,0,0,0,0,0,0,16933,0,0,16933,0,0,0,0,0,1014109,0,0,1014109,0,0,0,0
Stabilisation Plan - Barawe (Airstrip),Address the economic and social drivers of conflict and violent extremism,,,4. Infrastructural Restoration and Development,Infrastructure,,SSF,Pooled,,Unclear / TBD,4105836,0,0,2000000,2000000,,Significant,Significant,Principal,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0
ICT Sector Support - Phase II,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,Nov-15,Mar-18,4. Infrastructural Restoration and Development,Infrastructure,,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK) ","Government counterparts, AfricaConnect, WB",Government & IFI,14000000,1696546,1255841,1500000,4452387,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia ,Not targeted,Significant,NA – not screened ,0.7,,0.05,,0.05,0.1,0.05,0.05,,1187582.2,0,84827,0,84827,169655,84827,84827,0,879089,0,62792,0,62792,125584,62792,62792,0,1050000,0,75000,0,75000,150000,75000,75000,0
Repairs to Mogadishu airport,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,5000000,0,0,1388889,1388889,,,,,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388889,0,0,0,0,0,0,0
Strengthening Institutions for Public Works,"The objective of the project is to improve the capacities of MPWHR and , State-level Authorities responsible for Public Works state and regional authorities to enable them to independently plan, manage and oversee infrastructure construction projects and maintenance works independently. This includes their ability to work with all relevant stakeholders and ensure the involvement of local communities and other marginalized groups (e.g. women and the youth). ",Nov-16,Nov-19,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,AfDB,TBD,Government & IFI,8000000,0,0,1388889,1388889,http://http://www.afdb.org,Significant,Principal,Significant,0.166666667,,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231481,0,231481,231481,231481,231481,231481,0,0
Infrastructure Support to the Ministries of the Federal Government of Somalia,The expected outcomes of this project are a new or renovated Ministry of Finance Headquarters building and a new Ministry of Health Headquarters office block to provide a quality working environment in order to increase the capacity of the respective Ministries to support the needs of Somalia.,Jan-15,Dec-17,4. Infrastructural Restoration and Development,Infrastructure,,UNOPS,Govt. of Sweden,UNOPS,UN,3914636,538690,2013485,1362461,3914636,,Not targeted,Significant,Not targeted,1,,,,,0,,,,538690,0,0,0,0,0,0,0,0,2013485,0,0,0,0,0,0,0,0,1362461,0,0,0,0,0,0,0,0
Somalia Power Sector Development Master Plan,Contribute towards developing the fundamental building blocks for the establishment of modern energy sector in Somalia.,Aug-15,Jan-18,4. Infrastructural Restoration and Development,Infrastructure,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",WB-Executed,IFI,1550000,0,119640,1350000,1469640,http://http://somaliampf.org,Not targeted,Significant,Not targeted,,0.333333333,,,,0.333333333,,0.333333333,,0,0,0,0,0,0,0,0,0,0,39880,0,0,0,39880,0,39880,0,0,450000,0,0,0,450000,0,450000,0
Sustainable Road Maintenance Project,"The capacities of the institutions in the transport sector in Somalia are strengthened in the legislative, technical and institutional areas. An adequate level of rehabilitation and maintenance of the existing paved network to ensure no medium term collapse of key economic road infrastructure is ensured.",Dec-14,May-18,4. Infrastructural Restoration and Development,Infrastructure,,Germany,German Federal Goverment,GIZ,Bilateral Agency,3333333,171772,971778,1333333,2476883,http://www.srmp.so/,Significant,Principal,Not targeted,0.15,,,,,0.52,,0.33,,25765.83167,0,0,0,0,89322,0,56685,0,145767,0,0,0,0,505324,0,320687,0,200000,0,0,0,0,693333,0,440000,0
"Improving sustainable access to Water, Sanitation & Hygiene Promotion","To improve sustainable access to water, sanitation, & hygiene promotion. It will also support activities which contribute to community resilience (including PPPs for strategic boreholes and CLTS) and extension of water supplies to health and Nutrition centres as well as hygiene promotion.",Oct-15,Dec-18,4. Infrastructural Restoration and Development,Infrastructure,Health,UNICEF,SIDA,UNICEF; SRO; TASCO; MOWR; SHILCON; PSAWEN; CPD; SOPHPA; INTERSOS; WARDI,"Government, UN & NGOs",4086553,548335,1134000,1134000,2816335,,Significant,Significant,Significant,,0.1,0.1,0.1,0.1,0.25,0.1,0.25,,0,54834,54834,54834,54834,137084,54834,137084,0,0,113400,113400,113400,113400,283500,113400,283500,0,0,113400,113400,113400,113400,283500,113400,283500,0
ISWA Parliament - 2,Address the economic and social drivers of conflict and violent extremism,,,4. Infrastructural Restoration and Development,Infrastructure,,SSF,Pooled,,Unclear / TBD,876480,0,0,876480,876480,,Principal,Significant,Significant,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876480,0,0
Water Supply / basic sanitation and Sustainable Land Management in Somaliland - 2,"Improve the access to water supply and basic sanitation in particular of the poor population of Hargeisa in an economically, socially and environmentally sustainable way and to reduce land degradation and erosion in the Biji and Waheen water catchments in order to stabilize the agricultural procuctivity and food security  ",Dec-15,Dec-19,4. Infrastructural Restoration and Development,Infrastructure,,Germany,German Federal Government ,KfW,Bilateral Agency,26166667,0,166667,777778,944445,,Significant,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166667,0,0,0,0,0,0,0,0,777778,0
Somali Energy Transformation (SET) Project,"Project start-up activities (baseline, inception): A.2 - Development of off grid pico-solar PV markets in rural areas;A.3 - Development of community electrification schemes in rural areas; A.4 - Supply and installation of solar powered systems for irrigation, health and educational facilities; A.5 - Scaling up production, distribution  and marketing of modern energy efficient cook stoves;  A.6 - Development/ or support to youth led renewable energy enterprises; A.7 - Initiate energy policy dialogue in Puntland and South Central Somalia",Jan-15,Dec-17,4. Infrastructural Restoration and Development,Infrastructure,,EU,EU,ADRA DEUTSCHLAND EV,NGOs,2222222,1003114,498442,498442,1999998,,Significant,Significant,Significant,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,125389.3056,125389,125389,125389,125389,125389,125389,125389,0,62305,62305,62305,62305,62305,62305,62305,62305,0,62305,62305,62305,62305,62305,62305,62305,62305,0
JPLG - 6 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,4. Infrastructural Restoration and Development,Infrastructure,Decentralized service delivery modeling in Water,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,318599,326103,309928,954630,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,19434.50879,14337,19435,5416,17842,108961,21665,111509,0,19892,14675,19892,5544,18262,111527,22175,114136,0,18906,13947,18906,5269,17356,105995,21075,108475,0
T/A & capacity building to Energy Department of PSAWEN,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0,0,0
T/A and capacity building to FGS Min Energy and Water,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0,0,0,0,0,0,0,0
T/A and capacity building to FGS Min of Ports & Marine Transport,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0,0,0,0,0,0,0,0
T/A and capacity building to FGS Min of Transport & Civil Aviation,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0,0,0,0,0,0,0,0
T/A and capacity building to SL Ministry of Energy,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0
T/A to infrastructure agencies of Jubba,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0,0,0,0
T/A to South West infrastructure agencies,,,,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,,,Government & IFI,2000000,0,0,277778,277778,,,Principal,,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277778,0,0
Water Infrastructure and Management Support in Puntland,"To promote the economic development and good governance of urban water utilities, to boost employment and enhance service delivery through increased investments and pro-poor policy''.",Dec-12,Aug-16,4. Infrastructural Restoration and Development,Infrastructure,,EU,EU,TERRE SOLIDALI ONLUS ASSOCIAZIONE,NGOs,2597444,0,580885,259744,840629,,Not Targeted,Significant,Not Targeted,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580885,0,0,0,0,0,0,0,0,259744,0,0,0
Improving Urban Water Service Delivery in Somaliland,"1: A more capacitated government has established a common approach to service delivery across all urban systems, where public and private partners understand their roles fully, and water utility performance is consistently monitored Result 2: Key urban water utility agreements that incorporate local and global learning have been revised, re-negotiated, or established, strengthening in particular pro-poor service delivery as well as operational and financial efficiency Result 3: The capacity and reach of urban water systems in Burao, Tog Wajaale, and Erigavo have been extended based on structured planning and implementation approaches. Result 4: Additional Infrastructure investment in selected towns in Somaliland has improved water efficiency and has extended services to the most vulnerable  ",Jan-13,May-17,4. Infrastructural Restoration and Development,Infrastructure,,UNICEF,European Commission,Terre Solidali; UN-Habitat; MOWR,"Government, UN & NGOs",5549207,1987890,900000,200000,3087890,,Significant,Principal,Significant,,,,,,,,1,,0,0,0,0,0,0,0,1987890,0,0,0,0,0,0,0,0,900000,0,0,0,0,0,0,0,0,200000,0
Somali Engineering and Architectural Support (SEAS),"SEAS provides architectural, engineering, and environmental services for infrastructure investments in Somalia. SEAS reviews engineering designs, monitors construction, and verifies environmental compliance of USAID-funded rehabilitation and small-scale infrastructure activities. SEAS ensures that construction activities are implemented according to host government regulations, or where those do not yet exist, according to generally accepted international standards.",Sep-14,Sep-19,4. Infrastructural Restoration and Development,Infrastructure,,USA,USA,Huduma Consulting,Private Sector,874993,150000,100000,175000,425000,,Significant,Significant,Significant,0.24,0.2,0,0,0.35,0,0.15,0.06,,36000,30000,0,0,52500,0,22500,9000,0,24000,20000,0,0,35000,0,15000,6000,0,42000,35000,0,0,61250,0,26250,10500,0
JPLG - 9 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,4. Infrastructural Restoration and Development,Infrastructure,Decentralized service delivery modeling in roads,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,152373,155962,148227,456562,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,9294.765072,6857,9295,2590,8533,52112,10361,53331,0,9514,7018,9514,2651,8734,53339,10605,54587,0,9042,6670,9042,2520,8301,50693,10079,51879,0
JPLG - 10 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,4. Infrastructural Restoration and Development,Infrastructure,Decentralized service delivery modeling in solid and bio-medical waste management,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,43535,44561,42350,130446,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,2655.647163,1959,2656,740,2438,14889,2960,15237,0,2718,2005,2718,758,2495,15240,3030,15596,0,2583,1906,2583,720,2372,14484,2880,14823,0
Dilla-Kalabaydh Road Rehabilitation Project,Enhanced economic growth/activities and thereby increasing household incomes and reducing the poverty levels in the project area ,Sep-14,Oct-16,4. Infrastructural Restoration and Development,Infrastructure,/,Somaliland Development Fund,"DFID, DANIDA, Norway and the Netherlands",Roads Development Agency (RDA2),Government,2509600,555167,1941873,12130,2509170,http://http://www.somalilanddevelopmentfund.org,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,555167,0,0,0,0,0,0,0,0,1941873,0,0,0,0,0,0,0,0,12130,0
Construction of Hora Hadley Well field & Ayaha 1&2 Settlement Water Supply System,Improved sustainable access to safe quality and quantity drinking water for residents of Hargeisa town including the urban poor,Jul-14,Dec-16,4. Infrastructural Restoration and Development,Infrastructure,/,Somaliland Development Fund,"DFID, DANIDA, Norway and the Netherlands",Hargeisa Water Agency,Government,10661050,8325667,2188724,0,10514391,http://www.somalilanddevelopmentfund.org,Significant,Significant,NA – not screened ,,,,,,,,1,,0,0,0,0,0,0,0,8325667,0,0,0,0,0,0,0,0,2188724,0,0,0,0,0,0,0,0,0,0
Solar & Watering Structures in the Middle Shebelle,Address the economic and social drivers of conflict and violent extremism,Dec-15,Aug-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",SOMGIT,Private sector,1074731,663137,1067428,0,1730565,,Significant,Significant,Principal,,,,1,,,,,,0,0,0,663137,0,0,0,0,0,0,0,0,1067428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Manager for Construction and Engineering Projects in Puntland,Services,Nov-15,Mar-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",KOOR Consultants,Private Sector,102895,0,49095,0,49095,,Significant,Principal,Significant,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49095,0,0,0,0,0,0,0,0,0,0,0,0
"Infrastructure Needs Assessment and Action Plan i.e. (Transport, Energy, ICT and Water and Sanitation)","Subsector evaluation of needs:  Take stock of the current situation and identify critical areas of short term emergency assistance to maintain, rehabilitate and/or develop basic transport, energy and water (upstream and supply and sanitation), ICT and agriculture infrastructure, including human and institutional capacity gaps required to sustain the immediate demand and its growth over a short period of time (its duration is to be determined as part of the study scope). This should also include broad assessments of medium and long term needs to support the social and economic development of the country and to promote public as well as private sector investments. This part should also identify a list of all activities undertaken or planned by the various development partners and stakeholders to fill the gaps.",Dec-13,Dec-16,4. Infrastructural Restoration and Development,Infrastructure,,AfDB,AfDB,"AfDB, Ministry of Finance, Line Ministries",Government & IFI,585318,250000,215278,0,465278,http://www.afdb.org,Principal,Principal,Significant,,0.333333333,,,,0.333333333,,0.333333333,,0,83333,0,0,0,83333,0,83333,0,0,71759,0,0,0,71759,0,71759,0,0,0,0,0,0,0,0,0,0
Garowe Street Lights,Meet public expectations through strengthened community engagement in basic service delivery,Feb-16,Jul-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",SECCO,Private sector,699532,546400,699532,0,1245932,,Significant,Significant,Principal,,,,,,1,,,,0,0,0,0,0,546400,0,0,0,0,0,0,0,0,699532,0,0,0,0,0,0,0,0,0,0,0,0
Bossasso Youth Center,Address the economic and social drivers of conflict and violent extremism,Feb-16,Nov-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",TASS,NGOs,685761,0,423166,0,423166,,Significant,Principal,Principal,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423166,0,0,0,0,0,0,0,0,0,0,0,0
Solar projects consultant,Services,Feb-16,Apr-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",G Ronoh,Private Sector,18120,17800,18120,0,35920,,Significant,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,17800,0,0,0,0,0,0,0,0,18120,0,0,0,0,0,0,0,0,0
"Drilling, Casing, Capping and Equipping of boreholes in CeelBuuh, Dhudhub, Rako Raxo, and Xiriiro",Meet public expectations through strengthened community engagement in basic service delivery,Dec-15,Apr-16,4. Infrastructural Restoration and Development,Infrastructure,Conflict resolution & mitigation,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Nugaal Inc.,Private Sector,1068651,150000,350000,0,500000,,Significant,Principal,Principal,,,,,,1,,,,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0
Kismayo Youth Center,Meet public expectations through strengthened community engagement in basic service delivery,Aug-15,Feb-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",NIS,Private Sector,313160,0,234870,0,234870,,Significant,Significant,Principal,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,234870,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drilling, Casing, Capping and Equipping of a borehole in Towfiq, Puntland State,",Address conflict through peacebuilding and reconciliation and strengthened conflict resolution mechanisms,Jun-16,Nov-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",SOYENA,NGOs,463304,0,151304,0,151304,,Significant,Principal,Principal,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151304,0,0,0,0,0,0,0,0,0,0,0,0
Youth centre & ministry building design,Address the economic and social drivers of conflict and violent extremism,Nov-15,Jan-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",NIS,Private Sector,67588,0,54071,0,54071,,Not Targeted,Principal,Significant,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,54071,0,0,0,0,0,0,0,0,0,0,0,0,0
Consultant Services for Construction and Engineering Projects in Adale and Mahaday Districts of Middle Shabelle Regions,"Immediate benefits to vulnerable populations in districts newly recovered from Al Shabbab, in line with the FGS Stabilisation Plan",Jan-16,Sep-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",DESCON Architecture and Engineering Limited,Private Sector,50978,0,50978,0,50978,,Significant,Principal,Significant,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,50978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
